Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2016,"CHW",162,2217,6131,168,686,656,77,0.074213015,0.209590605,0.152612612,0.304274329,0.257297297,0.317273025,0.409909909,0.31387150766541605,,96.66558212241222,-0.9825612473068759,-25.710993720618177,-31.817929263226688,15.381737686122262
2015,"MIA",162,2297,5988,120,613,575,112,0.06262525,0.192050768,0.123741534,0.307110796,0.259930441,0.309954368,0.383671975,0.30151401922620574,,90.57457376897943,-1.2053538635373116,-67.25644358965626,26.850885760970414,15.34481125242298
2007,"SEA",162,2338,6209,153,794,754,81,0.06265099,0.138669673,0.138458832,0.313375796,0.286593947,0.336842105,0.425052779,0.33284628719222403,,102.65298641192865,-9.618018295615911,10.662003205519579,-68.3524327557534,15.331909782145901
2023,"CLE",162,2372,6096,124,662,622,151,0.077263779,0.187335958,0.131325956,0.292472617,0.250136042,0.313167844,0.381461998,0.30151565327818736,,92.29196699369379,9.7422741134651,-46.55941875763385,-9.62791742477566,15.22147641458485
2010,"NYM",162,2348,6144,128,656,625,130,0.081705729,0.178222656,0.13357731,0.286810886,0.249039341,0.314497528,0.382616651,0.30674697455524585,,88.96572536015502,10.615492302924395,-70.93263567832904,29.66311041638255,15.203188141420311
2014,"CHC",162,2358,6102,157,614,590,65,0.072435267,0.242051786,0.145787945,0.29578544,0.238743645,0.299586435,0.38453159,0.30252358308458266,,90.78204772975927,4.025563454255462,-59.515420771602535,13.232085189782083,15.193847795852465
2022,"CHW",162,2371,6123,149,686,654,58,0.06336763,0.207251347,0.131349136,0.304162724,0.255747638,0.310463402,0.387096774,0.30635329484744084,,98.19787495330351,-6.782642836595187,-19.199666334667413,-28.991274178028107,15.177809281691614
2016,"MIN",162,2290,6245,200,722,690,91,0.082145716,0.228342674,0.170523318,0.299628252,0.250800996,0.316178835,0.421324314,0.3169706745670425,,95.20422159889117,8.387562055097078,-27.951187932208676,-35.54629718512297,15.16675343223029
2007,"TEX",162,2313,6214,179,816,768,88,0.08094625,0.196974573,0.163276328,0.305436337,0.262826282,0.327972709,0.42610261,0.3290350978750645,,94.16776653699486,12.602081339806318,-33.36828906850373,-26.50571074616164,15.135763568570052
2007,"BAL",162,2348,6264,142,756,718,144,0.0798212,0.149904214,0.140649973,0.301718512,0.271532587,0.333493975,0.41218256,0.3268943324968974,,95.44735204535597,-9.04347962513566,-45.24709881400863,-17.157825242262334,15.05763925076998
2016,"NYY",162,2308,6058,183,680,647,72,0.078408715,0.196104324,0.152803224,0.288684719,0.252290216,0.31440903,0.40509344,0.3106847022097871,,91.76119863574966,1.5604302184656262,-58.73009746687227,0.4414379233494401,15.050845006049439
2011,"SDP",162,2355,6074,91,593,563,170,0.082482713,0.217319723,0.111500831,0.294349864,0.237031567,0.304839514,0.348532398,0.2896497695415269,,86.40121986205209,18.239205631893128,-77.24060876250458,33.3168917465955,15.02063276583082
2009,"DET",163,2350,6234,183,743,718,72,0.086621751,0.178697465,0.155956678,0.294255021,0.260469314,0.330744336,0.416425992,0.3278831325120073,,93.77665898755403,0.4436981547623873,-48.46844473656115,-19.9897775426507,14.95599259778573
2023,"NYY",162,2321,5973,219,673,650,100,0.093252971,0.238908421,0.1705805,0.266092108,0.226751831,0.303706188,0.397332331,0.3044883006755999,,94.24732134496676,-11.50374105386436,-52.675133849934625,-2.1381270214915276,14.938319747238769
2009,"CLE",162,2188,6320,161,773,730,84,0.092088607,0.191613924,0.153196839,0.307819123,0.263649425,0.339277185,0.416846264,0.33313728155676237,,100.0866045278216,-1.061892218887806,-0.7067987292975509,-72.33707987703383,14.797981486207657
2017,"COL",162,2374,6201,192,824,793,59,0.083696178,0.227060151,0.170762559,0.331572327,0.272858691,0.33773216,0.44362125,0.3324029764511518,,87.53294412132165,-7.530426952347625,-106.89312677272402,41.826942851766944,14.738994494420435
2014,"CIN",162,2213,5978,131,595,562,122,0.069421211,0.209434593,0.12734013,0.28426772,0.237627432,0.29649093,0.364967562,0.29412234209823995,,83.03632445199332,-1.191627941094339,-115.35606956870758,67.97996254265308,14.662060693475397
2018,"COL",163,2368,6178,210,780,748,95,0.082065393,0.226124959,0.179390002,0.304205489,0.255910485,0.322033898,0.435300487,0.324922753518118,,88.31115377424322,-0.005410171812400222,-88.34570396804483,40.35028224182315,14.543290490993552
2009,"CHC",161,2343,6244,161,707,678,56,0.094811018,0.18978219,0.152023332,0.295791487,0.254830477,0.331607056,0.406853809,0.32438081921652845,,90.1306858565278,-13.202222552150488,-89.3097127688721,36.93668796902057,14.347078522237386
2023,"CIN",162,2492,6195,198,783,747,190,0.089749798,0.24213075,0.170212766,0.306266318,0.249318057,0.326910621,0.419530823,0.32463946696926493,,97.6247172148769,17.471187476068735,-0.7583374585529405,-65.74709580286755,14.290729425337958
2007,"KCR",162,2294,6140,102,706,660,78,0.06970684,0.174104234,0.126129382,0.304988662,0.261474521,0.32207281,0.387603903,0.3122821721422798,,84.51678157936989,-1.6353011578321457,-121.22837659565842,55.11091141309589,14.2768567794794
2017,"ATL",162,2374,6216,165,732,706,77,0.076254826,0.19047619,0.149713467,0.305132411,0.262714899,0.326023391,0.412428366,0.3156382582836179,,88.60414842098687,3.973187454364961,-87.87370468471048,17.541275706142187,14.266182658480407
2012,"BAL",162,2282,6160,214,712,677,58,0.077922077,0.213474025,0.169784172,0.285890174,0.247302158,0.311274509,0.41708633,0.31650951944702255,,96.33123789294328,-17.14787343889475,-44.012452600304044,-27.459289204329252,14.262785939630895
2008,"OAK",161,2282,6138,125,646,610,88,0.093515803,0.199739328,0.126765731,0.288512696,0.241790497,0.31761624,0.368556228,0.3059583849464172,,86.12803795152648,12.422882931306958,-92.65344465555555,23.463284260593355,14.252073291865317
2010,"COL",162,2379,6265,173,770,741,99,0.093375897,0.203351955,0.162206149,0.30968523,0.262567811,0.33564181,0.42477396,0.3330933752386813,,90.52507014567804,9.278826471418142,-62.00191755082473,7.860227895900607,14.251955467598904
